Entity,Code,Year,Life_exp
World,OWID_WRL,1968,55.5
World,OWID_WRL,1969,55.8
World,OWID_WRL,1970,56.1
World,OWID_WRL,1971,55.9
World,OWID_WRL,1972,57.1
World,OWID_WRL,1973,57.6
World,OWID_WRL,1974,58.0
World,OWID_WRL,1975,58.3
World,OWID_WRL,1976,58.7
World,OWID_WRL,1977,59.4
World,OWID_WRL,1978,59.7
World,OWID_WRL,1979,60.2
World,OWID_WRL,1980,60.6
World,OWID_WRL,1981,61.0
World,OWID_WRL,1982,61.4
World,OWID_WRL,1983,61.6
World,OWID_WRL,1984,61.9
World,OWID_WRL,1985,62.2
World,OWID_WRL,1986,62.8
World,OWID_WRL,1987,63.2
World,OWID_WRL,1988,63.3
World,OWID_WRL,1989,63.8
World,OWID_WRL,1990,64.0
World,OWID_WRL,1991,64.1
World,OWID_WRL,1992,64.3
World,OWID_WRL,1993,64.4
World,OWID_WRL,1994,64.5
World,OWID_WRL,1995,64.9
World,OWID_WRL,1996,65.1
World,OWID_WRL,1997,65.5
World,OWID_WRL,1998,65.7
World,OWID_WRL,1999,66.1
World,OWID_WRL,2000,66.5
World,OWID_WRL,2001,66.8
World,OWID_WRL,2002,67.1
World,OWID_WRL,2003,67.5
World,OWID_WRL,2004,67.8
World,OWID_WRL,2005,68.2
World,OWID_WRL,2006,68.7
World,OWID_WRL,2007,69.1
World,OWID_WRL,2008,69.3
World,OWID_WRL,2009,69.8
World,OWID_WRL,2010,70.1
World,OWID_WRL,2011,70.5
World,OWID_WRL,2012,70.9
World,OWID_WRL,2013,71.2
World,OWID_WRL,2014,71.6
World,OWID_WRL,2015,71.8
World,OWID_WRL,2016,72.1
World,OWID_WRL,2017,72.3
World,OWID_WRL,2018,72.6
World,OWID_WRL,2019,72.8
World,OWID_WRL,2020,72.0
World,OWID_WRL,2021,71.0
